model,mean_similarity,min_similarity,max_similarity,std_similarity
gpt2-xl,0.38326982293554507,0.25729601041698436,0.6368800618123983,0.10245714189227194
gpt2-xl,0.3531186768221488,0.2849867343902588,0.42954492568969727,0.043412286751309155
gpt2-xl,0.42281119214994767,0.2958861291408539,0.5800313949584961,0.09398460702486247
gpt2-xl,0.33628739100348826,0.23807718001876288,0.4695776421083433,0.07383230836081736
gpt2-xl,0.3207846270906491,0.23051908612251282,0.39933934807777405,0.044957791328252776
gpt2-xl,0.4003843336472748,0.28307807445526123,0.6013913392191338,0.09387852553772587
gpt2-xl,0.29114815886715517,0.22417575120925903,0.41273707671540594,0.05926186779445651
gpt2-xl,0.40111510897663855,0.22935548670822703,0.6219895932686857,0.12281596225623002
gpt2-xl,0.35343479938649586,0.2744072675704956,0.4454384744167328,0.04565037009665114
gpt2-xl,0.2798121072606631,0.19682218768332294,0.45229324982802654,0.06961104297112335
gpt2-xl,0.3723599815139125,0.2879032917080353,0.49501061498992616,0.066352582026814
gpt2-xl,0.3796475216322572,0.29233058782451504,0.5165540864137369,0.07110020942516661
gpt2-xl,0.34569957837441617,0.2891818881034851,0.480701744556427,0.0539005906934576
gpt2-xl,0.33912709452470935,0.2979122818760709,0.4087079167366028,0.034829227425071496
gpt2-xl,0.3102279158130211,0.24687035400448165,0.42352495053261885,0.05144125512508211
gpt2-xl,0.3599080369807244,0.25822959791245514,0.5094700455665588,0.0738252886332165
gpt2-xl,0.4074256131098938,0.29334020614624023,0.5590140486351233,0.08009137035977154
gpt2-xl,0.4178962977663982,0.31253238766999614,0.5964278819305978,0.10308348402377566
gpt2-xl,0.34827097124465645,0.2688923478126526,0.47510924786980524,0.06988458685324092
gpt2-xl,0.37034705194287865,0.2780072523351167,0.5069467719229008,0.08330730751748437
gpt2-xl,0.3664088086977852,0.2953062179502124,0.402497798204422,0.029782957211564414
gpt2-xl,0.36482361319480605,0.2241966441752531,0.5966097241742008,0.10560855597070809
gpt2-xl,0.37977914232968024,0.2538857602085345,0.4774518622486682,0.06232623083215181
gpt2-xl,0.3741473581510736,0.3121980838657573,0.5165540864137369,0.05946586442537954
gpt2-xl,0.3367580195625718,0.23093800587570934,0.4373922049999237,0.0526773656246934
gpt2-xl,0.380614940793715,0.28861520954279896,0.48019522428512573,0.05835528880360394
gpt2-xl,0.3382877019985731,0.2225980907678604,0.4245010018348694,0.05318744699387765
gpt2-xl,0.3555129574266192,0.2589068258460272,0.5409781063186003,0.07654806740678546
gpt2-xl,0.3857279177283771,0.2974758236848065,0.6316137690313928,0.09926144455363006
gpt2-xl,0.30589115675677825,0.2289180917192647,0.3993508637725305,0.05742487676246362
gpt2-xl,0.32395008504390715,0.27024683356285095,0.43412697315216064,0.05157431655117745
gpt2-xl,0.28985656843356444,0.18767218663262242,0.3688089847564697,0.05818511981803683
gpt2-xl,0.316786847898824,0.26535735932842774,0.39844714430920325,0.046883008735790696
gpt2-xl,0.3880896543169064,0.2693610867667523,0.5575269128366175,0.09207373556983904
gpt2-xl,0.35664177952434717,0.268307089805603,0.4740847490455138,0.07018040143804463
gpt2-xl,0.36667771314579983,0.2313562493707989,0.5220707343774605,0.07681070001984153
gpt2-xl,0.3646170022147491,0.2223877625234273,0.5392200350761414,0.09105316890345826
gpt2-xl,0.37949963560011823,0.2799874246120453,0.5293684163501389,0.06975609414826815
gpt2-xl,0.35601415368643674,0.3039368987083435,0.4319084367861258,0.03806670740625472
gpt2-xl,0.36022854447364805,0.2645988464355469,0.482127845287323,0.0670847120643006
gpt2-xl,0.41894484763715123,0.31301766633987427,0.5870234966278076,0.0889950442482147
gpt2-xl,0.3297120457025303,0.15333563089370728,0.5006093680495409,0.09980832025623036
gpt2-xl,0.3131018764245873,0.24226585076654894,0.4077886452926849,0.053270089460528455
gpt2-xl,0.3493855324094422,0.17729373709596796,0.4652168473472098,0.0991751045241384
gpt2-xl,0.3624803419923931,0.27290196580279125,0.5029531717300415,0.06975540732086469
gpt2-xl,0.33714162567986966,0.2329640696666203,0.513278603553772,0.10108250588113583
gpt2-xl,0.29674182944547683,0.1926303207874298,0.3719339149037657,0.05668921725373851
gpt2-xl,0.29031422467608586,0.1531111415492139,0.3920099565970978,0.08133049499138878
gpt2-xl,0.3965796231082468,0.27731508016586304,0.5814458478358904,0.09712501334779332
gpt2-xl,0.3383308624265445,0.26929593086242676,0.4738139525762832,0.0646358878373798
gpt2-xl,0.3706520376258836,0.2809390425682068,0.5020984708012071,0.08004678571930442
gpt2-xl,0.3336053429087407,0.21063843838710472,0.4530889391899109,0.07276792885683737
gpt2-xl,0.4031933998873307,0.28480770769027575,0.6219895932686857,0.11535033802565034
gpt2-xl,0.3614686082073379,0.2854450898831996,0.4349001386821195,0.04875983577864373
gpt2-xl,0.3188914276594494,0.2889665192981654,0.3506657450200832,0.020099454728304565
gpt2-xl,0.36156411173418057,0.2702407240867615,0.4531368669108343,0.05903769366975417
gpt2-xl,0.3139458626072635,0.22031616028354795,0.47679305353247825,0.07016860992049863
gpt2-xl,0.3684805504447094,0.2226524518339369,0.5503209173296828,0.10460532473044544
gpt2-xl,0.3483466968159396,0.2371414374453259,0.5508130192756653,0.07829973662793255
gpt2-xl,0.29101496460875803,0.1767783472041805,0.3679327149431286,0.050812505237910165
gpt2-xl,0.38788516004302115,0.260511577129364,0.5487306281545948,0.08193700194920904
gpt2-xl,0.4430871306958976,0.3107535355834051,0.5396068256976256,0.0641317084287274
gpt2-xl,0.472119854584229,0.3002444922778318,0.706351101398468,0.12711186176477224
gpt2-xl,0.3880790361679295,0.273389545275029,0.5725852251052856,0.08063013357752684
gpt2-xl,0.41221036240298403,0.2507563083913147,0.6229121313743524,0.11442045900128811
gpt2-xl,0.3280370749763143,0.26392311644325017,0.46392652822417013,0.0682384264687172
gpt2-xl,0.4348553210363663,0.3509026556669089,0.5700767552761171,0.06641551350281262
gpt2-xl,0.3872227492631051,0.30050843954086304,0.47780636217518646,0.05016517507639875
gpt2-xl,0.38881586386436207,0.27290196580279125,0.4980571569170271,0.05809660094925738
gpt2-xl,0.35732747941679593,0.26866231747494285,0.4541458514841892,0.06167499974787906
gpt2-xl,0.4100968763259127,0.2822871888365506,0.6678504545777777,0.11501154252796111
gpt2-xl,0.360423576900151,0.27161218354774663,0.47344396770989794,0.06704880709522343
gpt2-xl,0.2952483720295437,0.244017094373703,0.36657096546042633,0.038360396952331406
gpt2-xl,0.3250095119450394,0.2491359264173556,0.42613525079068837,0.054180930225159796
gpt2-xl,0.38831658833839156,0.230622051991347,0.6365439295768738,0.1316411672376248
gpt2-xl,0.35548913552992467,0.25183582305908203,0.42740615769661483,0.05734263013612303
gpt2-xl,0.39721319533945354,0.2729106545448303,0.5857760207920091,0.10054847308280195
gpt2-xl,0.38689284415638603,0.3130263183422781,0.5203659534454346,0.08214399255775494
gpt2-xl,0.436570133773885,0.32921740412712097,0.5653915405273438,0.06825940444895207
gpt2-xl,0.3286275426544564,0.26417355154910416,0.4067315216820533,0.04297133475548844
gpt2-xl,0.40410420332317887,0.27112458520385163,0.631054087751621,0.10900830696183811
gpt2-xl,0.39452086983543266,0.30181862722746344,0.584297776222229,0.08714152640635997
gpt2-xl,0.39797845921853703,0.25333595275878906,0.6002589464187622,0.10908460910193032
gpt2-xl,0.3768973107141892,0.26292112315641547,0.4698724150657654,0.06208017096103274
gpt2-xl,0.39152434196182456,0.2854268508640726,0.5331329385559009,0.08495635762301978
gpt2-xl,0.4558237784842783,0.3566577818001645,0.6974989175796509,0.09287710382281501
gpt2-xl,0.38947324693662455,0.2799446415934186,0.5728078993787926,0.08111108435854243
gpt2-xl,0.3820246066471496,0.2380393147468567,0.4657459855079651,0.06985048183021243
gpt2-xl,0.35449188341132776,0.274781197309494,0.49658203125,0.06786853037271373
gpt2-xl,0.32780932709373767,0.2299876225002041,0.43412697315216064,0.05364623724945255
gpt2-xl,0.36197533774174745,0.2574083209037781,0.5208199775463338,0.07325300291192924
gpt2-xl,0.329789623420785,0.238605797290802,0.4406142830848694,0.05797696398868994
gpt2-xl,0.42034718230747725,0.3061158474614716,0.5797105336534382,0.08203035586239685
gpt2-xl,0.3151644889180248,0.2488645614547078,0.38491869658716404,0.046358249373149994
gpt2-xl,0.34990793850050655,0.21550001204013824,0.5222721099853516,0.0803835189589112
gpt2-xl,0.3492408394381825,0.22099410170351885,0.477990984916687,0.07232948614973046
gpt2-xl,0.3891673964715169,0.2830350399017334,0.48180994499862606,0.06013427439324297
gpt2-xl,0.5367178223377124,0.3862460485843455,0.7765496772737012,0.10373356438260978
gpt2-xl,0.4281332943500543,0.3039300675475538,0.6158549189567566,0.10306575732399187
gpt2-xl,0.3439982935795408,0.2598794853615458,0.4491321176807819,0.06027722423975266
gpt2-xl,0.36194679552663517,0.2547439780983942,0.4664655645808249,0.06474088606092884
gpt2-xl,0.3768672555522143,0.3219119906425476,0.43923962116241455,0.03001816263542926
gpt2-xl,0.41408280099978434,0.23375587262178266,0.7400302732008872,0.12821565371401186
gpt2-xl,0.3330261897689623,0.1806221360153597,0.5152245759963989,0.10559514010727318
gpt2-xl,0.2769999140750746,0.1732015162706375,0.37642116476360465,0.0737418516512205
gpt2-xl,0.3956474797219038,0.2995572864745435,0.692603292399942,0.10912109891852131
gpt2-xl,0.35142623546472274,0.28763335494597697,0.47140562534332275,0.05098575005755917
gpt2-xl,0.38803713877027446,0.30134570598602295,0.6538168787956238,0.09947883564420629
gpt2-xl,0.4124445640326882,0.35476068527932914,0.5269051790237427,0.050756681365271575
gpt2-xl,0.39649198134590224,0.3039605798697822,0.4828083504920223,0.05262830017644553
gpt2-xl,0.43946192860603334,0.32048332691192627,0.6172181367874146,0.07814542309661959
gpt2-xl,0.339490732550621,0.26325613260269165,0.4126521944999695,0.05508098586277657
gpt2-xl,0.3253169596676663,0.2160733213380983,0.4530182806838592,0.07967020949648713
gpt2-xl,0.31213448705146624,0.2113515906720409,0.5754800095868116,0.09465778011067494
gpt2-xl,0.3920191414673956,0.32196552520887645,0.46689434250874373,0.04828531677085984
